folderCode,rootSet,rootSelection,setFile,nodeId,nodeType,lineCount,payloadPreview,detectedPrefixes,mappedCategory,mappedSubcategory,mappedSubmenu,chosenPrefix,notes
Ftbw,Ftbw.set,Ftbw1,ftbw10.set,Ftbw10,set_node,28,16 | 300# | RF | STD | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftbw,Ftbw.set,Ftbw1,ftbw11.set,Ftbw11,set_node,28,16 | 300# | RF | 10s | 14,Cap | CapSTD | CapXS | CapXXS | Ftbw | ftbw | FTBW | Reducers | ReducersSTD | ReducersXS | ReducersXXS | ReducingTee | ReducingTeeSTD | ReducingTeeXS | ReducingTeeXXS | Return | ReturnSTD | ReturnXS | ReturnXXS | ShortRadiusReturn | ShortRadiusReturnSTD | ShortRadiusReturnXS | ShortRadiusReturnXXS | StraightTee | StraightTeeSTD | StraightTeeXS | StraightTeeXXS | StubEnd,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc1.set,Ftsc1,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc2.set,Ftsc2,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc3.set,Ftsc3,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc4.set,Ftsc4,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc5.set,Ftsc5,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc6.set,Ftsc6,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc7.set,Ftsc7,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
Ftsc,Ftsc.set,Ftsc1,Ftsc8.set,Ftsc8,set_node,28,11 | 300# | RF | STD | 10,Ftsc | FTSC | ftsc,,,,,
